Wall time,Step,Value
1648749430.414561,2628,0.0023084806744009256
1648749430.4297657,2629,0.0023152907378971577
1648749430.4777267,2632,0.0023358422331511974
1648749430.5534754,2637,0.0023705007042735815
1648749430.631912,2642,0.002405673498287797
1648749430.6625435,2644,0.002419888274744153
1648749430.8574734,2656,0.002506958320736885
1648749430.9872336,2664,0.0025667387526482344
1648749431.0218694,2666,0.0025819053407758474
1648749431.100386,2671,0.002620214829221368
1648749431.3743732,2688,0.002754769753664732
1648749431.43412,2692,0.002787420991808176
1648749431.4963057,2696,0.002820459194481373
1648749431.6204398,2704,0.0028877153526991606
1648749431.6355274,2705,0.0028962341602891684
1648749431.700061,2709,0.0029305622447282076
1648749431.7941742,2715,0.002982818754389882
1648749431.8395634,2718,0.0030092953238636255
1648749431.8547945,2719,0.0030181731563061476
1648749432.0142076,2729,0.0031084029469639063
1648749432.0752537,2733,0.003145245835185051
1648749432.105018,2735,0.0031638306099921465
1648749432.1366785,2737,0.0031825252808630466
1648749432.1670828,2739,0.0032013303134590387
1648749432.181858,2740,0.0032107746228575706
1648749432.348383,2750,0.0033067623153328896
1648749432.395161,2753,0.0033361143432557583
1648749432.4739645,2758,0.0033856146037578583
1648749432.5728061,2764,0.003445985494181514
1648749432.5891395,2765,0.003456151345744729
1648749432.605019,2766,0.0034663472324609756
1648749432.63593,2768,0.0034868293441832066
1648749432.6518326,2769,0.0034971158020198345
1648749432.6845832,2771,0.003517779754474759
1648749432.715416,2773,0.003538565943017602
1648749432.795348,2778,0.003591070184484124
1648749432.8256917,2780,0.0036122892051935196
1648749432.8753815,2783,0.0036443532444536686
1648749432.8910468,2784,0.0036551044322550297
1648749432.92357,2786,0.0036767020355910063
1648749433.2292478,2805,0.003888350911438465
1648749434.896714,2816,0.004016409162431955
1648749434.926476,2818,0.004040141589939594
1648749434.941533,2819,0.004052060190588236
1648749434.9738786,2821,0.004076003562659025
1648749434.9891255,2822,0.004088027868419886
1648749435.1775913,2833,0.004222662188112736
1648749435.2078054,2835,0.004247613251209259
1648749435.2535877,2838,0.004285316914319992
1648749435.2858934,2840,0.004310638178139925
1648749435.3010666,2841,0.004323354922235012
1648749435.3474326,2844,0.00436173053458333
1648749435.396495,2847,0.0044004470109939575
1648749435.4754114,2852,0.004465739708393812
1648749435.512512,2854,0.0044921268709003925
1648749435.605394,2860,0.004572228528559208
1648749435.6713293,2864,0.004626421723514795
1648749435.6867893,2865,0.004640069790184498
1648749435.7030067,2866,0.004653758369386196
1648749435.7529957,2869,0.004695067182183266
1648749435.7687998,2870,0.004708917811512947
1648749435.8004382,2872,0.004736742004752159
1648749435.8326292,2874,0.004764731042087078
1648749435.8968408,2878,0.004821205511689186
1648749435.963604,2882,0.004878349602222443
1648749436.0088046,2885,0.004921651910990477
1648749436.024345,2886,0.004936170764267445
1648749436.0554245,2888,0.004965337924659252
1648749436.0716746,2889,0.004979986231774092
1648749436.1813674,2896,0.005083740223199129
1648749436.2118201,2898,0.005113779567182064
1648749436.2271447,2899,0.005128865595906973
1648749436.3681836,2908,0.005266658961772919
1648749436.4456847,2913,0.005344803910702467
1648749436.5390282,2919,0.005440109875053167
1648749436.5692103,2921,0.005472254939377308
1648749436.6164246,2924,0.0055208285339176655
1648749436.6314867,2925,0.005537115503102541
1648749436.6619828,2927,0.00556983333081007
1648749436.7072017,2930,0.005619273521006107
1648749436.8620563,2940,0.005787264555692673
1648749436.8771265,2941,0.005804337561130524
1648749437.0151808,2950,0.005960278213024139
1648749437.0945404,2955,0.006048714742064476
1648749437.3301666,2970,0.00632197642698884
1648749437.4397404,2977,0.006453690119087696
